Date,Product_Category,Units_Sold,Unit_Price,Total_Revenue
2021-01-01,T-Shirts,27.0,25.0,675.0
2021-01-01,Jeans,29.0,60.0,1740.0
2021-01-01,Jackets,22.0,120.0,2640.0
2021-01-01,Dresses,9.0,80.0,720.0
2021-01-01,Accessories,38.0,15.0,570.0
2021-01-02,T-Shirts,35.0,25.0,875.0
2021-01-02,Jeans,59.0,60.0,3540.0
2021-01-02,Jackets,34.0,120.0,4080.0
2021-01-02,Dresses,10.0,80.0,800.0
2021-01-02,Accessories,66.0,15.0,990.0
2021-01-03,T-Shirts,34.0,25.0,850.0
2021-01-03,Jeans,40.0,60.0,2400.0
2021-01-03,Jackets,31.0,120.0,3720.0
2021-01-03,Dresses,6.0,80.0,480.0
2021-01-03,Accessories,39.0,15.0,585.0
2021-01-04,T-Shirts,22.0,25.0,550.0
2021-01-04,Jeans,23.0,60.0,1380.0
2021-01-04,Jackets,21.0,120.0,2520.0
2021-01-04,Dresses,6.0,80.0,480.0
2021-01-04,Accessories,28.0,15.0,420.0
2021-01-05,T-Shirts,32.0,25.0,800.0
2021-01-05,Jeans,28.0,60.0,1680.0
2021-01-05,Jackets,20.0,120.0,2400.0
2021-01-05,Dresses,5.0,80.0,400.0
2021-01-05,Accessories,35.0,15.0,525.0
2021-01-06,T-Shirts,25.0,25.0,625.0
2021-01-06,Jeans,23.0,60.0,1380.0
2021-01-06,Jackets,21.0,120.0,2520.0
2021-01-06,Dresses,6.0,80.0,480.0
2021-01-06,Accessories,37.0,15.0,555.0
2021-01-07,T-Shirts,22.0,25.0,550.0
2021-01-07,Jeans,41.0,60.0,2460.0
2021-01-07,Jackets,20.0,120.0,2400.0
2021-01-07,Dresses,6.0,80.0,480.0
2021-01-07,Accessories,46.0,15.0,690.0
2021-01-08,T-Shirts,19.0,25.0,475.0
2021-01-08,Jeans,31.0,60.0,1860.0
2021-01-08,Jackets,12.0,120.0,1440.0
2021-01-08,Dresses,5.0,80.0,400.0
2021-01-08,Accessories,41.0,15.0,615.0
2021-01-09,T-Shirts,43.0,25.0,1075.0
2021-01-09,Jeans,46.0,60.0,2760.0
2021-01-09,Jackets,29.0,120.0,3480.0
2021-01-09,Dresses,10.0,80.0,800.0
2021-01-09,Accessories,42.0,15.0,630.0
2021-01-10,T-Shirts,32.0,25.0,800.0
2021-01-10,Jeans,41.0,60.0,2460.0
2021-01-10,Jackets,36.0,120.0,4320.0
2021-01-10,Dresses,12.0,80.0,960.0
2021-01-10,Accessories,39.0,15.0,585.0
2021-01-11,T-Shirts,26.0,25.0,650.0
2021-01-11,Jeans,27.0,60.0,1620.0
2021-01-11,Jackets,17.0,120.0,2040.0
2021-01-11,Dresses,8.0,80.0,640.0
2021-01-11,Accessories,48.0,15.0,720.0
2021-01-12,T-Shirts,29.0,25.0,725.0
2021-01-12,Jeans,25.0,60.0,1500.0
2021-01-12,Jackets,19.0,120.0,2280.0
2021-01-12,Dresses,8.0,80.0,640.0
2021-01-12,Accessories,48.0,15.0,720.0
2021-01-13,T-Shirts,22.0,25.0,550.0
2021-01-13,Jeans,29.0,60.0,1740.0
2021-01-13,Jackets,16.0,120.0,1920.0
2021-01-13,Dresses,5.0,80.0,400.0
2021-01-13,Accessories,46.0,15.0,690.0
2021-01-14,T-Shirts,32.0,25.0,800.0
2021-01-14,Jeans,29.0,60.0,1740.0
2021-01-14,Jackets,24.0,120.0,2880.0
2021-01-14,Dresses,8.0,80.0,640.0
2021-01-14,Accessories,35.0,15.0,525.0
2021-01-15,T-Shirts,27.0,25.0,675.0
